Date,Mkt-RF,SMB,HML,RF
1970-01,-0.081,0.0291,0.0317,0.006
1970-02,0.0514,-0.0239,0.0369,0.0062
1970-03,-0.0106,-0.0231,0.0408,0.0057
1970-04,-0.1099,-0.0614,0.0614,0.005
1970-05,-0.069,-0.0461,0.0332,0.0053
1970-06,-0.058,-0.0208,0.0044,0.0058
1970-07,0.0692,-0.0055,0.0093,0.0052
1970-08,0.045,0.0148,0.0141,0.0053
1970-09,0.0418,0.0861,-0.0541,0.0054
1970-10,-0.0227,-0.0417,0.0021,0.0046
1970-11,0.0462,-0.0397,0.0158,0.0046
1970-12,0.0574,0.0282,0.0104,0.0042
1971-01,0.0483,0.0728,0.0155,0.0038
1971-02,0.0141,0.0186,-0.0124,0.0033
1971-03,0.0412,0.026,-0.0395,0.003
1971-04,0.0315,-0.0049,0.0086,0.0028
1971-05,-0.0399,-0.0104,-0.0133,0.0029
1971-06,-0.0009,-0.0153,-0.0197,0.0037
1971-07,-0.0449,-0.0151,-0.0002,0.004
1971-08,0.0379,-0.0022,0.0264,0.0047
1971-09,-0.0086,0.005,-0.029,0.0037
1971-10,-0.0442,-0.0175,-0.0051,0.0037
1971-11,-0.0046,-0.0277,-0.0167,0.0037
1971-12,0.0871,0.0329,-0.0038,0.0037
1972-01,0.0247,0.0584,0.0212,0.0029
1972-02,0.0287,0.0132,-0.0283,0.0025
1972-03,0.0062,-0.0029,-0.0161,0.0027
1972-04,0.0029,0.0016,0.0003,0.0029
1972-05,0.0129,-0.0271,-0.0272,0.003
1972-06,-0.0243,0.0028,-0.0246,0.0029
1972-07,-0.008,-0.029,0.006,0.0031
1972-08,0.0327,-0.0399,0.0456,0.0029
1972-09,-0.0114,-0.0266,0.0049,0.0034
1972-10,0.0052,-0.0273,0.0122,0.004
1972-11,0.046,-0.0118,0.0488,0.0037
1972-12,0.0062,-0.0195,-0.0218,0.0037
1973-01,-0.0327,-0.0349,0.027,0.0044
1973-02,-0.0485,-0.0389,0.0164,0.0042
1973-03,-0.013,-0.0278,0.0257,0.0046
1973-04,-0.0568,-0.0384,0.0539,0.0052
1973-05,-0.0297,-0.0627,0.0038,0.0051
1973-06,-0.0157,-0.0284,0.0114,0.0051
1973-07,0.0504,0.0792,-0.0526,0.0064
1973-08,-0.0382,-0.02,0.0103,0.007
1973-09,0.0474,0.0293,0.0222,0.0068
1973-10,-0.0083,-0.0021,0.0166,0.0065
1973-11,-0.1278,-0.0772,0.0409,0.0056
1973-12,0.0059,-0.054,0.0401,0.0064
1974-01,-0.0016,0.0968,0.0595,0.0063
1974-02,-0.0046,0.0,0.0247,0.0058
1974-03,-0.0282,0.025,-0.0014,0.0056
1974-04,-0.0528,-0.0068,0.0092,0.0075
1974-05,-0.047,-0.0293,-0.0208,0.0075
1974-06,-0.0284,-0.0024,0.0083,0.006
1974-07,-0.0806,0.0078,0.0516,0.007
1974-08,-0.0939,-0.0069,0.0261,0.006
1974-09,-0.1179,0.0027,0.0543,0.0081
1974-10,0.1611,-0.0343,-0.0991,0.0051
1974-11,-0.0453,-0.0117,-0.0025,0.0054
1974-12,-0.0344,-0.0474,0.0012,0.007
1975-01,0.1367,0.1106,0.0826,0.0058
1975-02,0.0556,0.0012,-0.0447,0.0043
1975-03,0.0266,0.0375,0.0242,0.0041
1975-04,0.0422,-0.0064,-0.0113,0.0044
1975-05,0.052,0.0393,-0.0405,0.0044
1975-06,0.0487,0.0081,0.0135,0.0041
1975-07,-0.066,0.0266,0.0176,0.0048
1975-08,-0.0284,-0.0317,-0.0091,0.0048
1975-09,-0.0426,-0.0016,0.0033,0.0053
1975-10,0.0532,-0.0408,0.0035,0.0056
1975-11,0.0265,-0.0122,0.0203,0.0041
1975-12,-0.016,-0.0087,0.017,0.0048
1976-01,0.1215,0.0487,0.0863,0.0047
1976-02,0.0031,0.0697,0.0571,0.0034
